ad_spend,monthly_pageviews,ad_format,ad_sales,shop_id,timestamp,app
15.1400003433,5489,facebook_carousel_ad,182.050003052,21007,2017-12-29 10:46:00,app2
60.0,212687,facebook_carousel_ad,29.3799991608,28097,2017-06-01 18:43:42,app1
15.0,123143,facebook_carousel_ad,7.78999996185,29072,2018-01-15 18:16:54,app2
52.5800018311,899,facebook_carousel_ad,40.5099983215,1047,2017-06-13 13:41:27,app2
15.0,41886,facebook_carousel_ad,68.0,1689,2017-05-22 03:57:16,app1
42.0299987793,4839,facebook_carousel_ad,101.680000305,24783,2017-12-25 19:14:11,app2
50.0,14480,facebook_carousel_ad,68.5699996948,9588,2017-06-15 01:59:37,app2
15.0,9107,facebook_carousel_ad,80.0,5469,2017-12-19 16:07:47,app2
319.890014648,41295,facebook_carousel_ad,67.5100021362,14822,2017-07-03 00:14:39,app1
15.4099998474,70074,facebook_carousel_ad,61.7400016785,12897,2017-06-26 13:43:36,app2
61.5400009155,45957,facebook_carousel_ad,427.320007324,13005,2017-09-06 03:04:55,app2
15.8100004196,14371,facebook_carousel_ad,38.0699996948,4317,2017-11-07 08:40:49,app1
45.0,3831,facebook_carousel_ad,21.9500007629,4444,2017-05-21 13:58:40,app2
47.2200012207,6890,facebook_carousel_ad,256.170013428,30789,2017-06-07 02:18:46,app1
31.1900005341,49832,facebook_carousel_ad,27.3500003815,1957,2017-11-01 20:07:17,app2
20.0,10106,facebook_carousel_ad,89.9499969482,29027,2017-12-20 17:26:12,app2
60.9000015259,17136,facebook_carousel_ad,151.0,30635,2017-12-30 19:12:36,app2
16.1299991608,34105,facebook_carousel_ad,73.3799972534,16328,2017-11-30 10:24:51,app1
22.5599994659,21955,facebook_carousel_ad,27.9799995422,8435,2017-11-13 15:46:42,app1
37.0600013733,283991,facebook_carousel_ad,44.8800010681,7203,2017-07-27 05:17:44,app1
35.0,12080,facebook_carousel_ad,18.7999992371,5012,2017-10-02 18:10:02,app1
15.8599996567,172590,facebook_carousel_ad,65.9800033569,6309,2017-08-27 07:48:01,app2
21.6700000763,57,facebook_carousel_ad,97.1600036621,5521,2017-07-22 10:40:41,app2
8.10999965668,0,facebook_carousel_ad,24.7900009155,15110,2017-06-29 18:11:20,app2
73.0,7209,facebook_carousel_ad,188.270004272,10674,2017-09-06 18:14:38,app2
28.0900001526,8200,facebook_carousel_ad,15.9899997711,22083,2017-10-02 19:19:09,app1
